id;nombre
1;Acción-aventura
2;Hack and slash
3;Videojuego aventura
4;Videojuego de lucha
5;Beat 'Em Up
6;Videojuego de arcade
7;Videojuego de plataformas
8;Videojuego de disparos en primera persona
9;FPS
10;Videojuego de disparos en tercera persona
11;TPS
12;Matamarcianos
13;Run and Gun
14;Videojuego de estrategia
15;Videojuego de estrategia en tiempo real
16;Videojuego de estrategia por turnos
17;Táctica en tiempo real
18;Táctica por turnos
19;Guerra
20;Construcción de imperios
21;Artillería
22;Videojuego multijugador de arena de batalla en línea
23;MOBA
24;Tower defense
25;Gestión del tiempo
26;Acción táctica
27;Videojuego de simulación
28;Videojuego de simulación de vehículos
29;Simuladores de conducción
30;Simuladores de vuelo
31;Simuladores de vuelo de combate
32;Simuladores de combate en vehículos
33;Simuladores ferroviarios
34;Simuladores náuticos
35;Simuladores de submarinos
36;Videojuego de construcción y gestión
37;Construcción de ciudades
38;Construcción de imperios
39;Construcción sandbox
40;Simulación económica o empresarial
41;Simulación de dios
42;Simulación política
43;Simulación de granja
44;Simulación de gestión deportiva
45;Simulación de zoológico
46;Simulación de parque de atracciones
47;Simulación de vida
48;Simulación de combate
49;Simuladores médicos
50;Simuladores de citas
51;Simuladores de caza
52;Simuladores de trabajo
53;Videojuego de deportes
54;Videojuego de carreras
55;Carreras arcade
56;Carreras simulación
57;Aventura conversacional
58;Aventura gráfica
59;Videojuego de acción-aventura
60;Terror y supervivencia
61;Sigilo
62;Battle Royale
63;Rol
64;MMORPG
65;sandbox
66;Musical
67;Puzle
68;MMO
